Hisse Kodu
ADLVY
AKSFA
AKFK
AKCVR
AKCKM
AKDFA
AKTVK
"ALBRK, ALK"
ALJF
"ALNUS, ANC"
ALFIN
ARSVY
ATAVK
"ATA, ATAYM"
ATLFA
"A1CAP, ACP"
BSRFK
BRKT
BLKOM
BNPPI
"BLS, BLSMD"
BRGFK
CAGFA
CLKMT
DVRLK
DYBNK
DGRVK
DENFA
DNFIN
DTBMK
"DMD, DSYAT"
DKVRL
DTRND
DOGVY
DFKTR
DNYVA
EKER
EKOFA
EKOVR
EMIRV
EKTVK
DMLKT
EMVAR
ERGLI
FSDAT
"FBB, FBBNK"
GARFL
"GLB, GLBMD"
GGBVK
GSIPD
HALKF
HLVKS
"HALKI, HLY"
HAYVK
HDFFL
HDFVK
"HDFYB, HYB"
HEPFN
HUZFA
"ICB, ICBCT"
"IAZ, INVAZ"
INALR
"INFO, IYF"
ISTFK
ISFAK
"ISMEN, IYM"
KLVKS
KTEST
"KRDMA, KRDMB, KRDMD"
KATVK
KFILO
KNTFA
KOCFN
KSFIN
KORTS
KTKVK
KTSVK
"MRBAS, MRS"
MRMAG
MTRKS
"MEKMD, MSA"
MRBKF
MBFTR
"MDASM, MDS"
"MSY, MSYBN"
MNGFA
NRLIN
NURVK
"NRBNK, NYB"
OPET
ORFIN
"OMD, OSMEN"
OTOKC
OTOSR
"OYA, OYYAT"
PRFFK
"PBT, PBTR"
QFINF
"QYATB, YBQ"
QYHOL
"FIN, QNBTR"
QNBFF
QNBVK
QUFIN
SARTN
SZUKI
SMRFA
"SKY, SKYMD"
"SEK, SKBNK"
"TAC, TCRYT"
TAMFA
DRPHN
TEBFA
TEBCE
"TAE, TRBNK"
"TERA, TRA"
TFNVK
TIMUR
TRYKI
"TRMEN, TVM"
TRKFN
"TBA, TRKSH"
TRKNT
"GARAN, TGB"
"HALKB, THL"
"EXIMB, THR"
"ISATR, ISBTR, ISCTR, ISKUR, TIB"
"KLN, KLNMA"
"TSK, TSKB"
"TVB, VAKBN"
TV8TV
VAKFA
VAKVK
VDFLO
VDFAS
YKFKT
YKFIN
"YKR, YKYAT"
"YKB, YKBNK"
ZKBVK
ZKBVR

