Hisse,Önceki Kapanış,Son Fiyat,Değişim (%)
USAK,3.36,3.36,0.0
KATMR,3.19,3.31,3.76
HDFGS,3.4,3.28,-3.53
HEKTS,3.29,3.28,-0.3
CONSE,3.2,3.23,0.94
EGSER,3.11,3.15,1.29
SRVGY,3.11,3.13,0.64
IDGYO,3.12,3.12,0.0
SASA,3.02,3.12,3.31
AKYHO,3.06,3.11,1.63
MARTI,3.09,3.11,0.65
OSTIM,3.14,3.11,-0.96
OZGYO,2.98,3.04,2.01
VRGYO,2.98,2.99,0.34
ARSAN,2.99,2.95,-1.34
