Kod
ACSEL
ADEL
ADESE
ADGYO
AFYON
AGHOL
AGESA
AGROT
AHSGY
AHGAZ
AKBNK
AKCNS
AKYHO
AKENR
AKFGY
AKFIS
AKFYE
ATEKS
AKSGY
AKMGY
AKSA
AKSEN
AKGRT
AKSUE
ALCAR
ALGYO
ALARK
ALBRK
ALCTL
ALFAS
ALKIM
ALKA
AYCES
ALTNY
ALKLC
ALVES
ANSGR
AEFES
ANHYT
ASUZU
ANGEN
ANELE
ARCLK
ARDYZ
ARENA
ARMGD
ARSAN
ARTMS
ARZUM
ASGYO
ASELS
ASTOR
ATAGY
ATAKP
AGYO
ATSYH
ATLAS
ATATP
AVOD
AVGYO
AVTUR
AVHOL
AVPGY
AYDEM
AYEN
AYES
AYGAZ
AZTEK
A1CAP
A1YEN
BAGFS
BAHKM
BAKAB
BALAT
BALSU
BNTAS
BANVT
BARMA
BASGZ
BASCM
BEGYO
BTCIM
BSOKE
BYDNR
BAYRK
BERA
BRKSN
BESLR
BJKAS
BEYAZ
BIENY
DOBUR
BLCYT
BIMAS
BINBN
BIOEN
BRKVY
BRKO
BIGEN
BRLSM
BRMEN
BIZIM
BLUME
BMSTL
BMSCH
BOBET
BORSK
BORLS
BRSAN
BRYAT
BFREN
BOSSA
BRISA
BULGS
BURCE
BURVA
BUCIM
BVSAN
BIGCH
CRFSA
CASA
CEMZY
CEOEM
CCOLA
CONSE
COSMO
CRDFA
CVKMD
CWENE
CGCAM
CANTE
CATES
CLEBI
CELHA
CEMAS
CEMTS
CMBTN
CMENT
CIMSA
CUSAN
DAGI
DAPGM
DARDL
DGATE
DCTTR
DMSAS
DENGE
DZGYO
DERIM
DERHL
DESA
DESPC
DSTKF
DEVA
DNISI
DIRIT
DITAS
DMRGD
DOCO
DOFRB
DOFER
DOHOL
DGNMO
ARASE
DOGUB
DGGYO
DOAS
DOKTA
DURDO
DURKN
DUNYH
DYOBY
EBEBK
ECZYT
EDATA
EDIP
EFORC
EGEEN
EGGUB
EGPRO
EGSER
EPLAS
EGEGY
ECILC
EKIZ
EKOS
EKSUN
ELITE
EMKEL
EMNIS
DMLKTG
EKGYO
ENDAE
ENJSA
ENERY
ENKAI
ENSRI
ERBOS
ERCB
EREGL
KIMMR
ERSU
ESCAR
ESCOM
ESEN
ETILR
EUKYO
EUYO
ETYAT
EUHOL
TEZOL
EUREN
EUPWR
EYGYO
FADE
FMIZP
FENER
FLAP
FONET
FROTO
FORMT
FORTE
FRIGO
FZLGY
GWIND
GSRAY
GARFA
GRNYO
GEDIK
GEDZA
GLCVY
GENIL
GENTS
GEREL
GZNMI
GIPTA
GMTAS
GESAN
GLBMD
GLYHO
GOODY
GOKNR
GOLTS
GOZDE
GRTHO
GSDDE
GSDHO
GUBRF
GLRYH
GLRMK
GUNDG
GRSEL
SAHOL
HLGYO
HRKET
HATEK
HATSN
HDFGS
HEDEF
HEKTS
HKTM
HTTBT
HOROZ
HUBVC
HUNER
HURGZ
ENTRA
ICBCT
ICUGS
INGRM
INVEO
INVES
ISKPL
IEYHO
IDGYO
IHEVA
IHLGM
IHGZT
IHAAS
IHLAS
IHYAY
IMASM
INDES
INFO
INTEK
INTEM
IPEKE
ISDMR
ISFIN
ISGYO
ISGSY
ISMEN
ISYAT
ISBIR
ISSEN
IZINV
IZENR
IZMDC
IZFAS
JANTS
KFEIN
KLKIM
KLSER
KLYPV
KAPLM
KRDMB
KRDMD
KRDMA
KAREL
KARSN
KRTEK
KARTN
KTLEV
KATMR
KAYSE
KENT
KRVGD
KERVN
TCKRC
KZBGY
KLGYO
KLRHO
KMPUR
KLMSN
KCAER
KCHOL
KOCMT
KLSYN
KNFRT
KONTR
KONYA
KONKA
KGYO
KORDS
KRPLS
KOTON
KOZAL
KOZAA
KOPOL
KRGYO
KRSTL
KRONT
KSTUR
KUVVA
KUYAS
KBORU
KZGYO
KUTPO
KTSKR
LIDER
LIDFA
LILAK
LMKDC
LINK
LOGO
LKMNH
LRSHO
LUKSK
LYDHO
LYDYE
MACKO
MAKIM
MAKTK
MANAS
MAGEN
MARKA
MARMR
MAALT
MRSHL
MRGYO
MARTI
MTRKS
MAVI
MZHLD
MEDTR
MEGMT
MEGAP
MEKAG
MNDRS
MEPET
MERCN
MERIT
MERKO
METRO
MTRYO
MHRGY
MIATK
MGROS
MSGYO
MPARK
MMCAS
MOBTL
MOGAN
MNDTR
MOPAS
EGEPO
NATEN
NTGAZ
NTHOL
NETAS
NIBAS
NUHCM
NUGYO
OBAMS
OBASE
ODAS
ODINE
OFSYM
ONCSM
ONRYT
ORCAY
ORGE
ORMA
OSMEN
OSTIM
OTKAR
OTTO
OYAKC
OYYAT
OYAYO
OYLUM
OZKGY
OZATD
OZGYO
OZRDN
OZSUB
OZYSR
PAMEL
PNLSN
PAGYO
PAPIL
PRDGS
PRKME
PARSN
PASEU
PSGYO
PATEK
PCILT
PGSUS
PEKGY
PENGD
PENTA
PSDTC
PETKM
PKENT
PETUN
PINSU
PNSUT
PKART
PLTUR
POLHO
POLTK
PRZMA
QNBTR
QNBFK
QUAGR
RNPOL
RALYH
RAYSG
REEDR
RYGYO
RYSAS
RODRG
ROYAL
RGYAS
RTALB
RUBNS
RUZYE
SAFKR
SANEL
SNICA
SANFM
SANKO
SAMAT
SARKY
SASA
SAYAS
SDTTR
SEGMN
SEKUR
SELEC
SELVA
SNKRN
SERNT
SRVGY
SEYKM
SILVR
SNGYO
SKYLP
SMRTG
SMART
SODSN
SOKE
SKTAS
SONME
SNPAM
SUMAS
SUNTK
SURGY
SUWEN
SMRVA
SEKFK
SEGYO
SKYMD
SKBNK
SOKM
TABGD
TNZTP
TARKM
TATGD
TATEN
TAVHL
TEKTU
TKFEN
TKNSA
TMPOL
TRHOL
TERA
TEHOL
TGSAS
TOASO
TRGYO
TLMAN
TSPOR
TDGYO
TSGYO
TUCLK
TUKAS
TPKGY
TRCAS
TUREX
MARBL
TRILC
TCELL
TMSN
TUPRS
THYAO
PRKAB
TTKOM
TTRAK
TBORG
TURGG
GARAN
HALKB
ISBTR
ISCTR
ISKUR
ISATR
KLNMA
TSKB
TURSG
SISE
VAKBN
UFUK
ULAS
ULUFA
ULUSE
ULUUN
UMPAS
USAK
ULKER
UNLU
VAKFN
VKGYO
VKFYO
VAKKO
VANGD
VBTYZ
VRGYO
VERUS
VERTU
VESBE
VESTL
VKING
VSNMD
YKBNK
YAPRK
YATAS
YYLGD
YAYLA
YGGYO
YEOTK
YGYO
YYAPI
YESIL
YBTAS
YIGIT
YONGA
YKSLN
YUNSA
ZEDUR
ZRGYO
ZOREN
BINHO
