"İsim","Son"," Yüksek"," Düşük","Fark","Fark %","Hac.","Zaman"
"Orge Enerji Elektrik","66,950","67,500","66,500","0,550","0,83%","537,71K","22/10"
"Osmanlı Yatırım","9,850","9,970","9,540","0,300","3,14%","5,07M","22/10"
"Ostim","3,170","3,240","3,170","-0,040","-1,25%","10,72M","22/10"
"Oylum Sınai Yatırımlar","10,640","10,750","10,350","0,000","0,00%","743,03K","22/10"
"Özak GYO","13,210","13,600","13,210","-0,130","-0,97%","3,36M","22/10"
"Polisan Holding A.Ş.","15,980","16,700","15,920","-0,570","-3,44%","7,99M","22/10"
"Sanifoam","7,020","7,080","6,920","-0,030","-0,43%","6,22M","22/10"
"Sodaş Sodyum","103,700","103,800","102,600","1,600","1,57%","5,96K","22/10"
"Teknosa","24,160","24,620","24,100","-0,040","-0,17%","2,46M","22/10"
"Ulaşlar Turizm Yatırımlar","30,000","31,000","28,400","0,400","1,35%","628,72K","22/10"
"Vakıf Menkul","21,460","21,900","21,300","-0,060","-0,28%","106,66K","22/10"
"Yibitaş Yozgat","22,34","22,42","22,34","-0,22","-0,98%","187,81K","22/10"
"Yeşil Yatırım","2,390","2,470","2,260","0,100","4,37%","64,73M","22/10"
"Akdeniz Yatırım","3,110","3,200","2,970","0,090","2,98%","2,83M","22/10"
"Ayes","15,210","15,680","15,210","-0,090","-0,59%","25,91K","22/10"
"Baştaş","15,200","15,200","14,830","-0,300","-1,94%","234,75K","22/10"
"Avrupa Yatırım","41,300","42,000","41,000","0,320","0,78%","1,18M","22/10"
"Diriteks","27,600","28,400","27,600","-1,240","-4,30%","67,19K","22/10"
"Etiler Gıda","4,220","4,440","4,180","-0,070","-1,63%","10,81M","22/10"
"FLAP KONG","9,900","10,100","9,800","-0,070","-0,70%","932,57K","22/10"
"Halk GYO","3,630","3,650","3,580","0,060","1,68%","25,26M","22/10"
"Jantsa","20,380","20,680","20,060","0,390","1,95%","5,24M","22/10"
"Kervansaray","2,400","2,450","2,400","-0,030","-1,23%","789,01K","22/10"
"Bera","18,160","18,490","17,790","-0,040","-0,22%","19,52M","22/10"
"Casa Emtia Petrol Kimyevi","89,450","90,200","89,450","-1,750","-1,92%","16,93K","22/10"
"Kuyaş Yatırım","48,240","49,200","46,200","2,040","4,42%","9,65M","22/10"
"Mega Polietilen Köpük","3,950","3,990","3,950","-0,050","-1,25%","567,6K","22/10"
"Merit Turizm Yatırım ve İşletme","20,100","20,480","20,060","-0,160","-0,79%","5,76M","22/10"
"Pegasus Hava Taşımacılığı","206,200","212,500","206,200","-4,100","-1,95%","21,14M","22/10"
"Prizma Pres","13,010","13,600","12,960","-0,090","-0,69%","342,64K","22/10"
"TGS","182,200","191,500","179,000","1,400","0,77%","148,1K","22/10"
"Lydia Yesil Enerji Kaynaklari AS","13.620,000","13.620,000","12.305,000","1.237,500","9,99%","32,28K","22/10"
"Tümosan Motor","100,500","102,800","100,500","0,000","0,00%","675,49K","22/10"
"Innosa Teknoloji AS","324,000","324,000","319,000","19,000","6,23%","10,88K","22/10"
"Royal Halı İplik Mobilya","6,800","6,820","6,770","0,000","0,00%","0","01/01"
"ODAŞ Elektrik","5,620","5,620","5,130","0,510","9,98%","96,86M","22/10"
"Panora GYO","90,600","92,750","88,050","-0,800","-0,88%","97,2K","22/10"
"Türker Proje Gayrimenkul","27,12","27,70","27,04","0,28","1,04%","427,35K","22/10"
"Acıselsan","110,500","112,000","110,000","0,500","0,45%","121,46K","22/10"
"Akiş GYO","7,680","7,740","7,600","0,090","1,19%","3,5M","22/10"
"Otto Holding","487,000","506,000","487,000","-11,500","-2,31%","77,46K","22/10"
"Sekuro Plastik Ambalaj","14,180","14,220","13,960","0,060","0,42%","442,24K","22/10"
"Iz Yatirim Holding","63,250","64,900","62,900","-0,250","-0,39%","196,46K","22/10"
"Verusa Holding","240,80","244,20","222,90","18,80","8,47%","627,07K","22/10"
"Orma","179,000","179,000","168,200","3,100","1,76%","8,84K","22/10"
"Yayla Enerji","34,040","34,040","31,360","2,260","7,11%","1,56M","22/10"
"SAN-EL","26,800","27,180","25,900","0,240","0,90%","104,93K","22/10"
"Temapol","211,00","218,40","205,80","-5,10","-2,36%","88,11K","22/10"
"Rodrigo","21,740","22,480","21,500","0,060","0,28%","328,02K","22/10"
"Tat Gıda","12,220","12,300","12,090","0,120","0,99%","1,41M","22/10"
"Gediz Ambalaj","28,46","30,66","28,46","-2,54","-8,19%","3,75M","22/10"
"Körfez GYO","3,210","3,210","2,930","0,290","9,93%","12,62M","22/10"
"Lider Faktoring","3,900","3,950","3,850","0,040","1,04%","7,39M","22/10"
"RTA","3,79","3,89","3,78","0,00","0,00%","35,99M","22/10"
"Servet GYO","3,000","3,090","2,950","0,050","1,69%","41,63M","22/10"
"Tuğçelik","8,960","9,160","8,960","-0,050","-0,55%","3,57M","22/10"
"Yeni Gimat","137,70","141,40","132,70","5,10","3,85%","214,99K","22/10"
"Pamukova Yenilenebilir Elektrik","89,35","90,65","88,90","-0,60","-0,67%","102,06K","22/10"
"Agesa Hayat ve Emeklilik","199,90","201,10","196,10","0,90","0,45%","266,32K","22/10"
"Pergamon Status","166,60","176,80","164,50","5,50","3,41%","162,85K","22/10"
"Ulusoy Un","7,400","7,480","7,270","0,150","2,07%","1,77M","22/10"
"Ulusoy Elektrik","179,50","184,60","178,60","-0,60","-0,33%","180,7K","22/10"
"HEDEF Girişim","5,120","5,500","4,670","0,040","0,79%","103,69M","22/10"
"Özerden Plastik","11,890","12,690","11,250","-0,060","-0,50%","1,39M","22/10"
"Senkron Güvenlik","225,000","238,100","225,000","-3,500","-1,53%","39,16K","22/10"
"Politeknik Metal","6.685,00","6.880,00","6.652,50","-130,00","-1,91%","6,3K","22/10"
"Say Yenilenebilir Enerji Ekipmanları","52,150","53,000","51,650","-0,500","-0,95%","612,15K","22/10"
"Bantaş Bandırma","6,450","6,610","6,440","0,010","0,16%","2,69M","22/10"
"Seyitler Kimya","5,760","6,000","5,440","0,050","0,88%","1,97M","22/10"
"Verusaturk","35,78","37,40","35,16","0,50","1,42%","2,56M","22/10"
"Çuhadaroğlu Metal","24,06","25,22","24,06","-0,56","-2,27%","946,89K","22/10"
"İskenderun Demir Çelik","37,080","38,140","37,020","-0,280","-0,75%","2,31M","22/10"
"İşbir Holding","99,70","102,00","99,70","-0,30","-0,30%","15,71K","22/10"
"İzmir Fırça","144,10","150,80","139,60","-6,80","-4,51%","792K","22/10"
"Kuştur Kuşadası","3.225,00","3.250,00","3.222,50","-25,00","-0,77%","616","22/10"
"Umpaş","9,300","9,680","9,000","0,000","0,00%","0","30/09"
"Yonga Mobilya","64,45","64,50","64,45","-2,15","-3,23%","27,44K","22/10"
"Mistral GYO","5,94","6,12","5,94","-0,01","-0,17%","2,13M","22/10"
"Fonet Bilgi","2,79","3,05","2,78","-0,22","-7,31%","140,69M","22/10"
"Mavi Giyim Sanayi","38,86","39,68","38,60","-0,36","-0,92%","8,76M","22/10"
"Safkar Ege Soğutmacılık","20,90","21,00","20,30","0,60","2,96%","5,91M","22/10"
"Trabzon Liman İşletmeciliği","99,90","105,00","96,25","3,65","3,79%","811,69K","22/10"
"Enerjisa Enerji","79,30","80,55","79,00","-0,40","-0,50%","3,1M","22/10"
"MLP Sağlık","325,50","331,00","325,00","1,25","0,39%","988,63K","22/10"
"Peker GYO","11,50","12,13","11,18","-0,25","-2,13%","759,81M","22/10"
"Trend Gayrımenkul Yat. Ort.","21,88","22,00","21,38","0,00","0,00%","618,34K","22/10"
"Şok Marketler","43,10","43,62","41,56","1,06","2,52%","11,28M","22/10"
"Kafein Yazılım","9,40","9,57","9,36","-0,05","-0,53%","2,39M","22/10"
"Formet Çelik Kapı","3,98","4,06","3,98","-0,02","-0,50%","38,89M","22/10"
"Sumaş Suni Tahta","291,00","299,75","289,00","0,75","0,26%","3,56K","22/10"
"Smartiks Yazılım","24,20","24,70","24,00","-0,08","-0,33%","672,03K","22/10"
"CEO Event Medya","24,70","25,84","24,70","-1,10","-4,26%","2,04M","22/10"
"Derluks Yatırım Holding","16,20","16,44","16,11","-0,04","-0,25%","8,18M","22/10"
"Naturel Yenilenebilir Enerji","8,46","8,62","8,45","-0,09","-1,05%","5,01M","22/10"
"Yükselen Çelik","5,95","6,00","5,85","0,10","1,71%","7,98M","22/10"
"Papilon Savunma","15,28","16,02","15,24","0,07","0,46%","10,47M","22/10"
"Ard Grup","24,94","25,18","24,72","0,06","0,24%","2M","22/10"
"Albaraka Portföy GYO","1.500,00","1.500,00","1.500,00","0,00","0,00%","3","21/10"
"Aktif Portföy Yönetimi GYF","5.325,00","5.325,00","5.325,00","0,00","0,00%","1","16/10"
"Qinvest Portföy","6.300,00","6.300,00","6.300,00","0,00","0,00%","0","29/09"
"Re-Pie Portföy Yön. Avrasya Stratejik GYF","6.837,00","6.837,00","6.837,00","0,00","0,00%","1","16/10"
"Bayrak","34,46","35,40","34,44","-0,34","-0,98%","2,2M","22/10"
"Fade Gıda A.Ş","14,42","14,68","14,37","0,05","0,35%","646,23K","22/10"
"Albaraka Portföy Dükkan GYF","9.000,00","9.000,00","9.000,00","0,00","0,00%","0","30/09"
"Albaraka One Tower GYF","4.150,00","4.150,00","4.150,00","0,00","0,00%","0","30/09"
"Dinamik Isi Makina Yalitim Malzemeleri","22,00","22,96","21,98","-0,42","-1,87%","1,14M","22/10"
"Esenboğa Elektrik","14,64","16,00","14,64","-1,62","-9,96%","26,99M","22/10"
"Kontrolmatik Teknoloji","28,60","29,44","28,58","-0,58","-1,99%","26,64M","22/10"
"Kervan Gıda","2,52","2,59","2,47","0,01","0,40%","19,28M","22/10"
"Arzum Elektrikli Ev Aletleri San.","2,93","2,99","2,92","-0,02","-0,68%","14,47M","22/10"
"Işık Plastik","9,40","9,50","8,95","0,52","5,86%","10,94M","22/10"
"Albaraka Start-Up Girişim YF","7.600,00","7.600,00","7.500,00","0,00","0,00%","20","15/10"
"Fiba Portfoy Yonetimi AS","6.072,00","6.072,00","6.072,00","0,00","0,00%","0","01/10"
"Türk İlaç","20,42","20,78","20,40","-0,06","-0,29%","1,94M","22/10"
"Naturelgaz Sanayi","10,04","10,10","9,65","0,33","3,40%","9,6M","22/10"
"Tureks Turizm","7,61","7,72","7,61","-0,02","-0,26%","19,72M","22/10"
"Qua Granite Hayal Yapı ve Ürünleri","9,14","9,28","8,89","0,28","3,16%","29,72M","22/10"
"Matriks Bilgi","29,00","29,20","27,50","1,76","6,46%","3,75M","22/10"
"Galata Wind Enerji","24,38","25,04","24,18","0,08","0,33%","4,58M","22/10"
"Biotrend Yatırım","23,22","24,10","23,10","-0,36","-1,53%","1,81M","22/10"
"Aydem Enerji","18,05","18,34","18,00","0,05","0,28%","2,39M","22/10"
"Can2 Termik","2,16","2,16","1,97","0,19","9,64%","881,22M","22/10"
"Ziraat GYO","22,30","22,80","22,08","0,20","0,90%","486,43K","22/10"
"Kalekim Kimyevi Maddeler San.","33,00","34,00","33,00","-0,80","-2,37%","1,68M","22/10"
"Penta Teknoloji","14,36","14,72","14,36","-0,14","-0,97%","2,13M","22/10"
"Mercan Kimya Sanayi","30,96","34,60","30,96","-3,44","-10,00%","13,6M","22/10"
"Atp Ticari Bilgisayar Ağı ve Elektrik","128,50","129,70","126,60","-0,10","-0,08%","647,58K","22/10"
"BMS Çelik","17,58","17,73","16,72","0,78","4,64%","3,91M","22/10"
"Boğaziçi Beton","18,90","18,93","18,50","0,50","2,72%","3,27M","22/10"
"Ünlü Yatırım","14,16","14,50","14,03","0,00","0,00%","1,25M","22/10"
"Başkent Doğalgaz Dağıtım Gayrimenkul","40,48","40,50","38,44","2,12","5,53%","1,51M","22/10"
"Oyak Yatırım","52,55","54,05","52,25","-0,95","-1,78%","472,04K","22/10"
"E-Data Teknoloji","5,22","5,32","5,17","-0,12","-2,25%","8,45M","22/10"
"Kütahya Şeker Fabrikası","72,45","72,70","71,20","1,40","1,97%","273,62K","22/10"
"Selva Gıda","3,12","3,19","3,04","-0,06","-1,89%","12,33M","22/10"
"VBT Yazılım","17,80","18,29","17,69","-0,01","-0,06%","872,06K","22/10"
"Escar Turizm Taşımacılık","19,99","20,60","19,85","-0,43","-2,11%","9,05M","22/10"
"Meditera Tıbbi Malzeme Sanayi","29,52","30,12","29,50","0,02","0,07%","548,73K","22/10"
"Manas Enerji Yönetimi San.","7,11","7,11","6,43","0,64","9,89%","30,03M","22/10"
"Gen İlaç ve Sağlık Ürünleri","187,30","193,50","185,30","-3,80","-1,99%","1,18M","22/10"
"Kızılbük GYO","15,43","16,13","15,42","-0,48","-3,02%","13,39M","22/10"
"Birleşim Mühendislik Isıtma Soğutma","14,07","14,22","13,95","0,07","0,50%","2,41M","22/10"
"Girişim Elektrik","43,12","43,48","42,86","0,24","0,56%","2,35M","22/10"
"Nasmed Özel Sağlık Hizmetleri","7,70","7,84","7,59","0,09","1,18%","3,1M","22/10"
"Orçay Ortaköy Çay San. ve Tic.","9,14","9,65","8,73","0,18","2,01%","1,11M","22/10"
"YEO Teknoloji Enerji","32,78","33,34","32,78","-0,22","-0,67%","2,36M","22/10"
"Europap Tezol Kağıt Sanayi","12,65","13,03","12,61","-0,08","-0,63%","2,42M","22/10"
"Ersan Alışveriş Hizmetleri ve Gıda San.","13,58","13,75","13,35","0,21","1,57%","946,43K","22/10"
"Margün Enerji","25,02","25,60","24,80","-0,36","-1,42%","3,37M","22/10"
"Anatolia Tanı ve Biyoteknoloji Ürünleri","11,51","11,65","11,45","0,07","0,61%","2,43M","22/10"
"Hedef Holding A.Ş.","94,70","94,70","85,00","6,35","7,19%","20,64M","22/10"
"Gelecek Varlık Yönetimi A.Ş.","65,90","67,20","65,90","-0,60","-0,90%","476,58K","22/10"
"İhlas Haber Ajansı","31,54","33,96","30,42","-1,54","-4,66%","1,56M","22/10"
"Ulusal Faktoring","3,85","3,93","3,70","0,13","3,49%","33,2M","22/10"
"Doğu Aras Enerji","52,05","53,25","51,80","0,50","0,97%","162,52K","22/10"
"Elite Naturel Organik Gıda","32,16","32,64","32,02","-0,06","-0,19%","689,71K","22/10"
"İşbir Sentetik Dokuma Sanayi","7,71","7,85","7,66","-0,04","-0,52%","1,21M","22/10"
"Gimat Mağazacılık","42,98","43,62","41,74","0,66","1,56%","1,67M","22/10"
"Mia Teknoloji","38,30","40,04","38,30","-1,46","-3,67%","18,72M","22/10"
"Konya Kağıt","50,60","51,80","50,30","-0,80","-1,56%","983,02K","22/10"
"Mobiltel İletişim Hizmetleri","7,30","7,55","7,29","-0,05","-0,68%","5,62M","22/10"
"PC İletişim ve Medya Hizmetleri","19,69","19,93","19,41","0,29","1,49%","1,15M","22/10"
"Rainbow Polikarbonat San. Tic.","36,92","38,24","36,52","-0,84","-2,22%","318,54K","22/10"
"Pasifik GYO","3,26","3,26","2,94","0,29","9,76%","615,25M","22/10"
"Erciyas Çelik Boru","73,05","75,00","72,95","-0,90","-1,22%","227K","22/10"
"Panelsan Çatı Cephe Sistemleri","38,32","38,84","38,06","0,28","0,74%","347,97K","22/10"
"Hun Yenilenebilir Enerji","3,55","3,64","3,54","-0,05","-1,39%","14,99M","22/10"
"DAP Gayrimenkul","12,99","13,19","12,45","0,44","3,51%","29,4M","22/10"
"Investco Holding","251,00","267,50","240,10","5,50","2,24%","680,8K","22/10"
"Hitit Bilgisayar Hizmetleri","45,74","46,10","45,44","-0,08","-0,17%","500,25K","22/10"
"Koleksiyon Mobilya","5,53","6,00","5,46","-0,14","-2,47%","19,72M","22/10"
"Gezinomi Seyahat","250,25","260,00","250,25","-7,75","-3,00%","294,92K","22/10"
"GÜR-SEL Turizm Taşımacılık","342,75","345,75","333,50","8,75","2,62%","851,73K","22/10"
"Ensari Deri Gıda Sanayi","114,70","114,70","101,60","10,40","9,97%","519,21K","22/10"
"Smart Güneş Enerjisi","26,40","27,00","26,26","-0,42","-1,57%","2,22M","22/10"
"LDR Turizm A.Ş.","61,20","63,70","61,20","-1,80","-2,86%","591,01K","22/10"
"Suwen Tekstil","10,10","10,28","10,06","0,05","0,50%","4,91M","22/10"
"Consus Enerji İşletmeciliği","3,13","3,20","3,12","0,00","0,00%","6,16M","22/10"
"BMS Birleşik Metal Sanayi","63,25","65,70","63,25","0,30","0,48%","1,23M","22/10"
"Kimteks Poliüretan","16,31","16,89","16,24","-0,20","-1,21%","1,83M","22/10"
"İmaş Makina Sanayi","4,07","4,24","4,07","0,01","0,25%","51,55M","22/10"
"Yayla Agro Gıda Sanayi","9,93","9,98","9,73","0,23","2,37%","5,01M","22/10"
"Sun Tekstil","35,52","36,38","34,10","0,26","0,74%","7,4M","22/10"
"Şeker GYO","4,60","4,60","4,18","0,41","9,79%","28,83M","22/10"
"Europen Endüstri İnşaat","8,65","8,71","8,16","0,25","2,98%","52,5M","22/10"
"Pardus Girişim Sermayesi Yatırım","6,11","6,18","6,03","0,04","0,66%","1,54M","22/10"
"Makim Makina Teknolojileri","16,61","16,90","16,48","-0,03","-0,18%","824,63K","22/10"
"Kocaer Çelik","12,82","13,03","12,59","0,22","1,75%","7,16M","22/10"
"Rubenis Tekstil","19,48","19,70","19,21","0,15","0,78%","703,99K","22/10"
"Kiler Holding","163,80","166,60","158,10","0,70","0,43%","3,02M","22/10"
"Koroplast Temizlik Ambalaj","8,74","9,20","8,74","-0,36","-3,96%","2,77M","22/10"
"Obase Bilgisayar ve Danışmanlık","36,20","36,28","35,12","0,92","2,61%","304,61K","22/10"
"Barem Ambalaj Sanayi Ve Ticaret AS","19,37","19,60","18,85","0,41","2,16%","3,06M","22/10"
"Aztek Teknoloji Ürünleri","53,15","58,00","53,15","-2,95","-5,26%","3,36M","22/10"
"Hidropar Hareket Kontrol Teknolojileri","11,67","11,87","11,58","0,07","0,60%","2,18M","22/10"
"Aura Portfoy Yonetimi AS","3.200,00","3.200,00","3.200,00","0,00","0,00%","0","29/07"
"Albaraka Portföy GYO","2.587,00","2.587,00","2.587,00","3,00","0,12%","1","22/10"
"Alfa Solar Enerji","41,38","41,76","41,16","0,28","0,68%","856,82K","22/10"
"Darphane Altın Sertifikası","68,96","72,58","68,96","-3,62","-4,99%","51,86M","22/10"
"Sanica Isı Sanayi","4,87","5,08","4,83","-0,12","-2,40%","15,97M","22/10"
"Özsu Balık Üretim","17,84","18,20","17,58","0,25","1,42%","855K","22/10"
"Platform Turizm Taşımacılık Gıda","24,36","25,00","24,30","-0,26","-1,06%","2,14M","22/10"
"Birikim Varlık Yönetim","77,35","83,30","77,35","-3,80","-4,68%","1,35M","22/10"
"Aura Portfoy Yonetimi AS","34.100,00","34.100,00","34.100,00","0,00","0,00%","1","20/10"
"Ahlatcı Doğal Gaz Dağıtım Enerji","24,92","24,94","24,34","0,20","0,81%","4,34M","22/10"
"Tera Yatırım Menkul Değerler","901,00","928,00","901,00","-11,50","-1,26%","1,95M","22/10"
"EYG GYO","4,65","4,67","4,58","0,04","0,87%","14,88M","22/10"
"Oncosem Onkolojik Sistemler","170,10","182,00","168,70","-4,90","-2,80%","1,32M","22/10"
"SDT Uzay ve Savunma Teknolojileri","177,50","183,30","177,50","-0,80","-0,45%","1,22M","22/10"
"Söke Değirmencilik Sanayi","11,23","11,29","11,13","0,11","0,99%","908,18K","22/10"
"Tapdi Oksijen Özel Sağlık ve Eğitim Hiz.","21,60","22,50","21,56","-0,22","-1,01%","1,58M","22/10"
"Astor Enerji","94,20","97,00","94,15","-1,55","-1,62%","14,31M","22/10"
"Maçkolik İnternet Hizmetleri","42,44","43,18","41,42","0,58","1,39%","960,82K","22/10"
"Bülbüloğlu Vinç","125,00","132,40","124,50","-6,20","-4,73%","1,59M","22/10"
"Göknur Gıda","21,48","21,90","21,48","0,00","0,00%","2,67M","22/10"
"Akfen Yenilenebilir Enerji","16,87","17,00","16,77","0,08","0,48%","4,4M","22/10"
"Eksun Gıda","6,11","6,19","6,06","0,02","0,33%","1,38M","22/10"
"Tera Portfoy Yonetimi AS","4.181,00","4.181,00","4.181,00","0,00","0,00%","0","27/12"
"Koza Polyester","6,29","6,41","6,20","-0,04","-0,63%","6,41M","22/10"
"Cvk Maden İşletmeleri","19,78","20,16","19,21","0,17","0,87%","44,1M","22/10"
"Europower Enerji","26,02","26,26","25,70","-0,08","-0,31%","4,8M","22/10"
"Grainturk Holding AS","581,00","613,00","571,50","-28,00","-4,60%","374K","22/10"
"Cw Enerji Mühendislik","23,48","24,12","23,28","-0,22","-0,93%","14,89M","22/10"
"Büyük Şefler (Big Chefs)","59,10","61,05","57,95","-0,05","-0,08%","205,56K","22/10"
"Bien Yapı Ürünleri","40,00","40,54","39,68","0,00","0,00%","3,56M","22/10"
"Kayseri Şeker Fabrikası","17,80","17,83","17,53","0,32","1,83%","2,26M","22/10"
"Katılımevim Tasarruf","12,80","13,76","12,80","-0,24","-1,84%","81,08M","22/10"
"Pasifik Eurasia Lojistik","145,40","152,70","145,40","-4,40","-2,94%","3,9M","22/10"
"A1 Capital Yatırım","11,99","12,42","11,81","-0,10","-0,83%","20,81M","22/10"
"Forte Bilgi İletişim","72,90","74,20","70,60","1,45","2,03%","1,81M","22/10"
"Atakey Patates","53,05","53,05","50,55","1,60","3,11%","1,05M","22/10"
"Kaleseramik","28,84","29,32","28,60","-0,24","-0,83%","793,53K","22/10"
"Fuzul Gayrimenkul","14,55","14,72","14,33","0,22","1,54%","13,7M","22/10"
"Asce Gayrimenkul","11,28","11,63","11,04","0,24","2,17%","6,51M","22/10"
"İzdemir Enerji","8,36","8,39","8,13","0,06","0,72%","12,53M","22/10"
"Ofis Yem Gıda","75,75","81,20","73,60","-4,85","-6,02%","5,34M","22/10"
"Tatlıpınar Enerji","80,00","82,00","79,85","-0,35","-0,44%","1,08M","22/10"
"Baydöner Restoranları","20,12","20,50","19,92","-0,08","-0,40%","241,8K","22/10"
"Enerya Enerji","9,18","9,33","9,08","-0,08","-0,86%","22,57M","22/10"
"Kuzugrup Gayrimenkul","25,06","26,04","24,64","0,06","0,24%","5,99M","22/10"
"Ebebek Mağazacılık","55,75","56,00","54,20","1,45","2,67%","626,79K","22/10"
"Tera Portfoy Yonetimi AS","1.551,50","1.551,50","1.551,50","0,00","0,00%","0","26/01"
"Tarkim Bitki Koruma","393,25","402,00","392,50","-2,75","-0,69%","204,71K","22/10"
"Gıpta Ofis Kırtasiye","121,50","125,20","117,40","-2,00","-1,62%","2,32M","22/10"
"Reeder Teknoloji","9,93","10,01","9,90","0,03","0,30%","17,14M","22/10"
"Hat-San Gemi İnşaa","47,00","48,20","46,90","-0,80","-1,67%","1,28M","22/10"
"Adra Gayrimenkul","47,16","48,16","46,78","-0,04","-0,08%","786,4K","22/10"
"Dmr Unlu Mamuller","25,20","26,20","25,20","-0,70","-2,70%","1,88M","22/10"
"Meka Beton Santralleri","4,81","5,08","4,80","-0,17","-3,41%","15,74M","22/10"
"Dofer Yapı Malzemeleri","63,30","65,00","61,60","0,25","0,40%","2,8M","22/10"
"Mhr Gayrimenkul","3,71","3,76","3,63","0,08","2,20%","6,02M","22/10"
"Borlease Otomotiv","26,30","27,06","26,24","-0,20","-0,75%","1,84M","22/10"
"Tab Gıda","241,80","245,70","241,80","-1,20","-0,49%","612,55K","22/10"
"Vera Konsept Gayrimenkul","3,13","3,25","3,09","0,05","1,62%","36,93M","22/10"
"Tureks Turunç Madencilik","13,23","13,47","13,13","-0,02","-0,15%","1,92M","22/10"
"1000 Yatırımlar Holding","9,83","9,83","8,96","0,89","9,96%","72,9M","22/10"
"Ekos Teknoloji","25,10","25,84","25,02","-0,46","-1,80%","4,72M","22/10"
"Agrotech Teknoloji","7,24","7,32","7,23","-0,03","-0,41%","7,86M","22/10"
"Şeker Yatırım","13,05","13,42","13,03","-0,24","-1,81%","3,1M","22/10"
"Çates Elektrik","32,00","32,10","31,00","0,96","3,09%","809,2K","22/10"
"Batı Ege GYO","5,06","5,19","5,04","-0,06","-1,17%","20,15M","22/10"
"Albaraka Portfoy Yonetimi AS","3.600,00","3.600,00","3.600,00","0,00","0,00%","0","30/09"
"Albaraka Portfoy Yonetimi AS","3.069,00","3.072,00","3.069,00","-341,00","-10,00%","54","22/10"
"Kuzey Boru","13,23","13,66","13,23","-0,21","-1,56%","6,47M","22/10"
"Mega Metal","34,84","35,58","33,56","0,64","1,87%","6,29M","22/10"
"Sur Tatil GYO","44,56","45,16","44,04","0,10","0,22%","2,38M","22/10"
"Avrupakent GYO","56,85","57,55","56,80","-0,35","-0,61%","591,47K","22/10"
"PASİFİK TEKNOLOJİ A.Ş.","28,24","28,74","27,00","1,34","4,98%","31,57M","22/10"
"Bor Şeker","22,44","22,92","22,44","-0,24","-1,06%","1,46M","22/10"
"Limak Doğu Anadolu","24,20","24,64","24,16","0,02","0,08%","4,48M","22/10"
"Alves Kablo","28,88","29,42","28,80","-0,30","-1,03%","2,86M","22/10"
"Oba Makarna","44,26","44,54","42,48","1,18","2,74%","4,98M","22/10"
"Artemis Halı","51,00","54,35","50,50","-0,50","-0,97%","3,66M","22/10"
"Mogan Enerji","8,96","9,06","8,91","0,04","0,45%","3,62M","22/10"
"Odine Teknoloji","200,00","200,70","194,90","1,00","0,50%","788,52K","22/10"
"Ic Enterra","10,13","10,39","10,13","-0,03","-0,30%","6,45M","22/10"
"Rönesans GYO","149,30","151,10","147,90","-0,70","-0,47%","542,47K","22/10"
"Lila Kağıt","28,40","28,70","28,04","0,06","0,21%","2,95M","22/10"
"Koton Mağazacılık","17,33","17,67","17,33","-0,03","-0,17%","1,4M","22/10"
"Altınay Savunma","61,70","63,50","60,75","-0,30","-0,48%","9,05M","22/10"
"Koç Metalurji","2,63","2,74","2,61","-0,07","-2,59%","25,27M","22/10"
"Hareket Proje Taşımacılığı","73,65","75,05","71,75","2,00","2,79%","1,08M","22/10"
"Onur Yüksek Teknoloji","79,70","80,95","76,75","3,40","4,46%","861,95K","22/10"
"Özyaşar Tel","32,88","33,30","31,94","0,18","0,55%","1,27M","22/10"
"Altınkılıç Gıda","87,90","96,50","84,60","-6,09","-6,48%","6,31M","22/10"
"Yiğit Akü","24,14","24,70","24,04","-0,16","-0,66%","2,09M","22/10"
"Horoz Lojistik","67,10","68,85","65,55","1,10","1,67%","2,77M","22/10"
"Seğmen Kardeşler","21,10","21,54","21,06","-0,04","-0,19%","1,1M","22/10"
"Efor Çay","137,20","139,00","134,00","2,60","1,93%","1,42M","22/10"
"Dct Trading","29,88","30,98","29,86","-0,88","-2,86%","2,59M","22/10"
"Bahadır Kimya","55,85","58,55","55,20","-1,20","-2,10%","1,31M","22/10"
"Kıraç Galvaniz","44,50","45,00","43,16","1,00","2,30%","909,19K","22/10"
"Gündoğdu Gıda","91,10","99,65","89,50","0,50","0,55%","20,21M","22/10"
"Ahes GYO","42,66","43,56","42,10","-0,16","-0,37%","1,02M","22/10"
"Özata Denizcilik","225,00","226,10","218,70","2,00","0,90%","306,79K","22/10"
"Cem Zeytin","41,00","41,90","39,60","1,42","3,59%","5,11M","22/10"
"Durukan Sekerleme Sanayi ve","14,95","15,20","14,94","-0,08","-0,53%","1,44M","22/10"
"Bin Ulasim ve Akilli Sehir Teknolojileri AS","156,20","156,20","142,80","14,20","10,00%","2,75M","22/10"
"Re Pie Portfoy Yonetimi AS","6,15","6,15","6,15","0,00","0,00%","1","21/10"
"Re Pie Portfoy Yonetimi AS","2.539,00","2.539,00","2.300,50","-17,00","-0,67%","25","22/10"
"Cagdas Cam Sanayi ve Ticaret AS","35,24","35,50","32,52","2,54","7,77%","10,81M","22/10"
"Sumer Varlik Yonetim AS","360,00","370,00","358,50","-1,25","-0,35%","2,34M","22/10"
"Albaraka Portföy GYO","1.941,00","1.941,00","1.941,00","0,00","0,00%","0","30/06"
