"İsim","Son"," Yüksek"," Düşük","Fark","Fark %","Hac.","Zaman"
"AVOD Gıda","3,990","4,230","3,950","-0,140","-3,39%","5,56M","22/10"
"Avtur","14,250","14,430","13,660","0,520","3,79%","542,91K","22/10"
"Altın Yunus","410,000","420,000","409,000","-3,250","-0,79%","55,13K","22/10"
"Ayen Enerji A.Ş.","26,000","26,580","26,000","-0,300","-1,14%","319,51K","22/10"
"Aygaz A.Ş.","186,20","187,10","181,70","4,90","2,70%","297,23K","22/10"
"Bagfaş Bandırma Gübre Fab.","31,02","31,66","31,02","-0,28","-0,89%","757,17K","22/10"
"Bak Ambalaj San.","36,000","36,820","35,060","-0,500","-1,37%","345,05K","22/10"
"Banvitas","179,500","180,500","177,800","0,500","0,28%","215,64K","22/10"
"Bosch Fren","161,00","163,50","160,90","0,00","0,00%","236,67K","22/10"
"BIM Mağazalar","538,00","545,00","525,00","14,00","2,67%","5,89M","22/10"
"Ral Yatırım","189,500","195,000","180,100","5,400","2,93%","4,85M","22/10"
"Bizim","26,64","27,14","26,44","0,14","0,53%","483,6K","22/10"
"Beşiktaş","1,920","1,970","1,880","0,040","2,13%","115,31M","22/10"
"Bilici Yat. San. Ve Tic. A.Ş.","23,600","24,540","23,200","0,480","2,08%","1,55M","22/10"
"Bossa Tic. Ve San. T.A.Ş.","7,570","7,850","7,570","-0,040","-0,53%","8,35M","22/10"
"Birko Birleşik","8,100","8,100","7,750","-0,050","-0,61%","1,01M","22/10"
"Berkosan","8,300","8,300","8,090","0,120","1,47%","423,81K","22/10"
"Birlik Mensucat A.Ş.","20,200","20,200","18,900","1,400","7,45%","162,95K","22/10"
"Yeşil Yapı","2,070","2,140","2,000","0,040","1,97%","347,38M","22/10"
"Borusan Birlesik","396,00","404,25","396,00","-2,00","-0,50%","534,29K","22/10"
"Borusan Yatırım","2.022,00","2.045,00","2.007,00","-9,00","-0,44%","41,33K","22/10"
"Batısöke","15,420","15,630","15,380","0,050","0,33%","7,2M","22/10"
"Batıçim Batı Anadolu Çimento Sanayii","4,21","4,30","4,19","0,03","0,72%","155,98M","22/10"
"Bursa Çimento","6,18","6,23","6,15","0,04","0,65%","6,26M","22/10"
"Burçelik Çel. Dkm. San. A.Ş.","32,220","32,220","27,000","2,920","9,97%","7M","22/10"
"Burçelik Vana San. Ve Tic. A.Ş.","198,100","198,100","178,000","18,000","9,99%","294,57K","22/10"
"CarrefourSA","120,90","127,00","120,30","-4,20","-3,36%","1,03M","22/10"
"Coca-Cola İçecek","51,45","52,25","50,40","0,85","1,68%","11,58M","22/10"
"Çelik Halat Ve Tel San. A.Ş.","8,550","8,640","8,510","0,030","0,35%","1,36M","22/10"
"Çemaş","5,540","5,890","5,540","-0,290","-4,97%","60,38M","22/10"
"Çemtaş Çelik Makina","10,480","10,770","10,480","-0,030","-0,29%","5,3M","22/10"
"Çimsa Çimento","42,88","43,48","42,84","-0,34","-0,79%","9,92M","22/10"
"Çelebi Hava Servisi A.Ş.","1.497,00","1.520,00","1.495,00","-1,00","-0,07%","52,02K","22/10"
"Çimbeton A.Ş.","2.150,00","2.218,00","2.136,00","14,00","0,66%","24,41K","22/10"
"Çimentaş İzmir T.A.Ş.","348,00","348,50","348,00","-0,50","-0,14%","7,71K","22/10"
"Döktaş Dökümcülük","24,280","24,340","23,500","0,780","3,32%","198,8K","22/10"
"Cosmos","137,600","140,000","135,000","-1,400","-1,01%","43,09K","22/10"
"Creditwest","33,500","33,500","33,280","0,200","0,60%","943,26K","22/10"
"Dagi","8,090","8,370","8,020","-0,230","-2,76%","8,04M","22/10"
"Dardanel Önentaş","2,410","2,420","2,380","0,030","1,26%","33,22M","22/10"
"Derimod","36,80","37,38","36,70","0,14","0,38%","541,93K","22/10"
"Desa","14,540","14,980","14,480","-0,080","-0,55%","1,28M","22/10"
"Despec","60,050","62,050","58,350","1,200","2,04%","484,86K","22/10"
"Deva Holding A.Ş.","70,100","73,000","70,100","-1,750","-2,44%","910,95K","22/10"
"Datagate","77,850","78,050","75,700","1,050","1,37%","1,08M","22/10"
"Doğuş GYO","31,080","31,860","30,720","-0,040","-0,13%","80,84K","22/10"
"Ditaş Doğan","26,320","26,320","24,200","2,380","9,94%","1,77M","22/10"
"Demisaş Döküm","8,990","9,090","8,910","0,090","1,01%","2,99M","22/10"
"Deniz GYO","6,700","6,840","6,400","0,300","4,69%","8,73M","22/10"
"Doğuş Otomotiv Servis","173,90","175,80","172,50","1,60","0,93%","1,62M","22/10"
"Doğan Burda","339,000","367,250","335,500","-8,000","-2,31%","110,14K","22/10"
"DO & CO","10.482,50","10.652,50","10.455,00","27,50","0,26%","3,64K","22/10"
"Doğusan Boru","40,660","40,660","38,700","3,680","9,95%","1,33M","22/10"
"Doğan Şirketler Grubu","16,740","17,320","16,740","-0,410","-2,39%","31,49M","22/10"
"Duran Doğan","3,530","3,550","3,440","0,090","2,62%","4,39M","22/10"
"DYO Boya","13,670","13,830","13,660","-0,080","-0,58%","2,04M","22/10"
"Metro Yatırım Ortaklığı","8,250","8,350","8,100","-0,040","-0,48%","446,54K","22/10"
"Eczacıbaşı İlaç","92,000","96,500","88,250","3,100","3,49%","16,52M","22/10"
"Eczacıbaşı Yatırım","262,25","270,00","259,50","4,25","1,65%","2,85M","22/10"
"Edip Gayrimenkul","33,160","34,280","33,140","-0,720","-2,13%","1,26M","22/10"
"Ege Endüstri Ve Tic. A.Ş.","7.827,50","7.942,50","7.805,00","27,50","0,35%","11,84K","22/10"
"Ege Gübre San. A.Ş.","96,10","100,10","95,40","-0,90","-0,93%","624,84K","22/10"
"Ege Profil Tic. Ve San. A.Ş.","26,000","26,860","25,580","-0,120","-0,46%","564,28K","22/10"
"Ege Seramik San. Ve Tic. A.Ş.","3,330","3,340","3,280","0,040","1,22%","2,79M","22/10"
"Emlak Konut GYO","19,340","19,700","19,160","0,040","0,21%","170,49M","22/10"
"Ekiz Kimya","83,950","85,500","83,950","-1,050","-1,24%","16,56K","22/10"
"Euro Menkul","13,980","13,990","13,520","0,500","3,71%","438,99K","22/10"
"EMEK Elektrik","48,200","50,450","47,740","0,040","0,08%","10,47M","22/10"
"Eminiş Ambalaj","184,400","189,900","184,400","-2,600","-1,39%","5,99K","22/10"
"ENKA","74,600","75,150","71,100","3,400","4,78%","24,09M","22/10"
"Egeplast","6,550","6,740","6,320","0,170","2,66%","17,98M","22/10"
"Erbosan Erciyas Boru","182,50","187,00","181,30","-0,60","-0,33%","63,32K","22/10"
"Erdemir","26,840","27,800","26,800","-0,520","-1,90%","167,73M","22/10"
"ERSU","21,000","22,920","20,900","-1,000","-4,55%","1,2M","22/10"
"Escort","3,15","3,22","3,14","-0,01","-0,32%","27,15M","22/10"
"Euro Trend YO","27,020","27,440","25,980","-0,420","-1,53%","480,99K","22/10"
"Euro Kapital Yat. Ort. A.Ş.","16,990","18,450","16,870","-0,810","-4,55%","1,39M","22/10"
"Euro Yatırım","9,900","10,000","9,900","-0,150","-1,49%","595,78K","22/10"
"Fenerbahçe","10,10","10,22","9,90","0,16","1,61%","32,84M","22/10"
"QNB Finans","57,100","57,100","56,000","-1,550","-2,64%","68,11K","22/10"
"Qnb Bank","484,750","490,000","484,750","-5,250","-1,07%","15,18K","22/10"
"Federal Mogul","313,75","320,00","309,00","3,50","1,13%","146,3K","22/10"
"Ufuk Yatırım","1.213,000","1.248,000","1.111,000","25,000","2,10%","65,72K","22/10"
"Frigo Pak","11,050","11,110","10,880","0,010","0,09%","11,75M","22/10"
"Ford Otomotiv San. A.Ş.","97,70","99,85","97,05","-0,30","-0,31%","16,76M","22/10"
"Garanti BBVA","126,00","127,70","125,30","0,10","0,08%","30,93M","22/10"
"Garanti Faktoring","24,520","24,840","24,380","0,080","0,33%","391,88K","22/10"
