Kod
BINBN  ​
CGCAM  ​
SMRVA  ​
ARMGD  ​
ALTNY  ​
AKFIS  ​
HRKET  ​
DMLKTG  ​
BULGS  ​
EGEGY  ​
GLRMK  ​
MOPAS  ​
KLYPV  ​
SERNT  ​
BIGEN  ​
BALSU  ​
VSNMD  ​
ENDAE  ​
OZYSR  ​
ADEL  ​
SAFKR  ​
AEFES  ​
AFYON  ​
AGYO  ​
AKBNK  ​
AKCNS  ​
AKENR  ​
AKGRT  ​
AKSA  ​
AKSUE  ​
ALARK  ​
ALCAR  ​
ALCTL  ​
ALGYO  ​
ALKIM  ​
RUZYE  ​
ANHYT  ​
ANSGR  ​
ARCLK  ​
ARENA  ​
ARSAN  ​
ASELS  ​
ASUZU  ​
ATAGY  ​
ATEKS  ​
ATLAS  ​
ATSYH  ​
AYCES  ​
AYEN  ​
AYGAZ  ​
BAGFS  ​
BAKAB  ​
BANVT  ​
BFREN  ​
RALYH  ​
BJKAS  ​
BOSSA  ​
BRISA  ​
BRMEN  ​
YYAPI  ​
BRSAN  ​
BRYAT  ​
BSOKE  ​
BTCIM  ​
BUCIM  ​
COSMO  ​
CELHA  ​
CEMTS  ​
KERVN  ​
CLEBI  ​
CMBTN  ​
CMENT  ​
DARDL  ​
DERIM  ​
DEVA  ​
DITAS  ​
DMSAS  ​
DZGYO  ​
DOGUB  ​
DOHOL  ​
DURDO  ​
DYOBY  ​
MTRYO  ​
ECZYT  ​
EDIP  ​
EGEEN  ​
EGGUB  ​
EGPRO  ​
EGSER  ​
EMNIS  ​
ENKAI  ​
EPLAS  ​
ERBOS  ​
EREGL  ​
ERSU  ​
ESCOM  ​
QNBFK  ​
QNBTR  ​
FMIZP  ​
FRIGO  ​
FROTO  ​
GARAN  ​
GARFA  ​
INVEO  ​
GENTS  ​
GEREL  ​
TEHOL  ​
GLYHO  ​
GOLTS  ​
GOODY  ​
DGGYO  ​
GSDHO  ​
GSRAY  ​
GUBRF  ​
TURSG  ​
HURGZ  ​
IHEVA  ​
YGYO  ​
INTEM  ​
IPEKE  ​
ISATR  ​
ISBTR  ​
ISCTR  ​
ISFIN  ​
ISGYO  ​
ISKUR  ​
ISYAT  ​
IZMDC  ​
KAPLM  ​
KARSN  ​
KARTN  ​
KCHOL  ​
KENT  ​
BESLR  ​
DGNMO  ​
KLMSN  ​
KNFRT  ​
KONYA  ​
KORDS  ​
KOZAA  ​
KRDMA  ​
KRDMB  ​
KRDMD  ​
KRSTL  ​
KRTEK  ​
KUTPO  ​
LINK  ​
LOGO  ​
LUKSK  ​
MAALT  ​
MAKTK  ​
MERKO  ​
MGROS  ​
LYDHO  ​
MARTI  ​
MNDRS  ​
MRSHL  ​
IEYHO  ​
MZHLD  ​
NETAS  ​
NTHOL  ​
NUGYO  ​
NUHCM  ​
IHLGM  ​
OTKAR  ​
OZGYO  ​
PARSN  ​
PENGD  ​
PETKM  ​
PETUN  ​
PKENT  ​
PNSUT  ​
PRKAB  ​
PRKME  ​
RAYSG  ​
SAHOL  ​
SANKO  ​
SARKY  ​
SASA  ​
KUVVA  ​
SISE  ​
SKBNK  ​
SNPAM  ​
SONME  ​
TRHOL  ​
TATGD  ​
TBORG  ​
TCELL  ​
ICBCT  ​
THYAO  ​
MNDTR  ​
KLNMA  ​
TOASO  ​
TRCAS  ​
TSKB  ​
TUPRS  ​
VAKFN  ​
VAKKO  ​
METRO  ​
VESTL  ​
ICUGS  ​
VKFYO  ​
VKGYO  ​
VKING  ​
YATAS  ​
AGHOL  ​
YKBNK  ​
KGYO  ​
YUNSA  ​
ZOREN  ​
FENER  ​
ULKER  ​
YESIL  ​
DESA  ​
BURVA  ​
TTRAK  ​
DOAS  ​
INDES  ​
SEKFK  ​
PKART  ​
AKMGY  ​
MARKA  ​
BIMAS  ​
VAKBN  ​
RYSAS  ​
DGATE  ​
VESBE  ​
SELEC  ​
CCOLA  ​
GLRYH  ​
INGRM  ​
SILVR  ​
EUYO  ​
KAREL  ​
HUBVC  ​
TAVHL  ​
AVTUR  ​
OYAYO  ​
HALKB  ​
ISMEN  ​
SNGYO  ​
ALBRK  ​
TKFEN  ​
ETYAT  ​
TTKOM  ​
BRKO  ​
LRSHO  ​
GOZDE  ​
KOZAL  ​
TSGYO  ​
AKSEN  ​
IHGZT  ​
ANELE  ​
EUHOL  ​
IDGYO  ​
CEMAS  ​
RYGYO  ​
EKIZ  ​
GEDIK  ​
MRGYO  ​
TRGYO  ​
IHYAY  ​
DOCO  ​
EKGYO  ​
DESPC  ​
BIZIM  ​
LKMNH  ​
KLGYO  ​
BRKSN  ​
AKFGY  ​
HATEK  ​
YAPRK  ​
BLCYT  ​
KRONT  ​
DAGI  ​
ZEDUR  ​
MEPET  ​
ERCB  ​
EUKYO  ​
GLBMD  ​
VANGD  ​
GSDDE  ​
INFO  ​
TLMAN  ​
ENJSA  ​
SUMAS  ​
MPARK  ​
PEKGY  ​
TDGYO  ​
FORMT  ​
SOKM  ​
KFEIN  ​
ADESE  ​
MMCAS  ​
OZKGY  ​
OSMEN  ​
BEYAZ  ​
SANFM  ​
OYLUM  ​
OSTIM  ​
ORGE  ​
PRZMA  ​
TKNSA  ​
MEGAP  ​
POLHO  ​
SODSN  ​
TGSAS  ​
FLAP  ​
AKYHO  ​
ACSEL  ​
INTEK  ​
MERIT  ​
AYES  ​
ETILR  ​
BASCM  ​
YONGA  ​
CASA  ​
DENGE  ​
ULAS  ​
YBTAS  ​
BALAT  ​
DIRIT  ​
KUYAS  ​
LYDYE  ​
ISBIR  ​
KSTUR  ​
ORMA  ​
TMSN  ​
AVHOL  ​
MTRKS  ​
FONET  ​
UMPAS  ​
EDATA  ​
DERHL  ​
DNISI  ​
MERCN  ​
BRLSM  ​
ULUSE  ​
RTALB  ​
GENIL  ​
IHAAS  ​
TURGG  ​
ISSEN  ​
SNKRN  ​
OTTO  ​
GRSEL  ​
FADE  ​
RUBNS  ​
HTTBT  ​
NTGAZ  ​
KLSYN  ​
SEGYO  ​
BARMA  ​
OBASE  ​
RODRG  ​
LIDFA  ​
AKSGY  ​
ESEN  ​
TUCLK  ​
MOBTL  ​
UNLU  ​
SANEL  ​
OZRDN  ​
BVSAN  ​
ODAS  ​
PAMEL  ​
ASGYO  ​
POLTK  ​
TMPOL  ​
AGESA  ​
SAYAS  ​
CRFSA  ​
SEYKM  ​
YGGYO  ​
CWENE  ​
MAGEN  ​
KZGYO  ​
VERUS  ​
IZINV  ​
IZENR  ​
PGSUS  ​
OFSYM  ​
BINHO  ​
OBAMS  ​
SRVGY  ​
SEKUR  ​
BNTAS  ​
MARBL  ​
ALKLC  ​
MOGAN  ​
ARDYZ  ​
KRGYO  ​
GEDZA  ​
PAGYO  ​
VBTYZ  ​
PSDTC  ​
HLGYO  ​
ULUUN  ​
IZFAS  ​
CEOEM  ​
OZATD  ​
DURKN  ​
BAYRK  ​
BOBET  ​
TUREX  ​
QUAGR  ​
ANGEN  ​
ONCSM  ​
SDTTR  ​
KCAER  ​
MHRGY  ​
BORLS  ​
LIDER  ​
SEGMN  ​
MEDTR  ​
ATAKP  ​
